package_id,title,phase,priority,owner_role,depends_on,planning_state,target_paths,acceptance_gate,rollback,primary_technology_ids
P00,تثبيت خط الأساس وحماية الأدلة,R0,P0,QA + Security,,LOCAL_PENDING_APPROVAL,packages/cells/celia/system;tests;package.json,تثبيت بصمات الاختبارات وتشغيل baseline وتصنيف كل فشل دون تعديل التوقعات,وقف الحزمة عند فشل إضافي غير مفهوم؛ حفظ العمل المحلي السابق,
P01,H2: استعادة التطبيق الجزئي,R0,P0,Systems + Security,P00,BLOCKED_BY_PREDECESSOR,tools/celia-workspace-commit-port.mjs;tests/celia-workspace-commit-hardening.test.js,H2 الأصلي GREEN مع write-applied ثم ENOSPC واستعادة المحتوى وtopology وثبات staging؛ H1 والانحدار بلا تراجع,تعطيل COMMIT عند استعادة غير مؤكدة؛ لا إعادة منح مستهلكة,A067;A068
P02,H3: حفظ تعديل الكاتب الخارجي,R0,P0,Systems + Security,P01,BLOCKED_BY_PREDECESSOR,tools/celia-workspace-commit-port.mjs;tests/fixtures/celia-commit-hardening-child.mjs,H3 الأصلي GREEN مع تدخل العملية الخارجية فعلًا وDENY 403 وحفظ تعديلها؛ لا تخطي hook,لا اعتماد COMMIT إذا لم يثبت منع السباق؛ الاحتفاظ بعقد RED,
P03,Crash recovery وتزامن عدة commits,R0,P0,Systems + QA,P02,BLOCKED_BY_PREDECESSOR,tools/celia-commit-consumption-store.mjs;tools/celia-workspace-commit-port.mjs,قتل وإعادة تشغيل وتزامن عمليات مستقلّة؛ استعادة متسقة دون تكرار أثر أو إحياء تفويض؛ verify إلى نهايته,عزل الحالة غير المؤكدة وإيقاف الكتابة؛ لا مسح journal أو كسر locks آليًا,A065;A091
P04,الهوية وملكية الموارد والموافقات وبوابة الأدوات,R1,P0,Security + Backend,P03,BLOCKED_BY_PREDECESSOR,tools/celia-dashboard-server.mjs;tools/celia-workspace-*-auth.mjs;packages/policy;packages/capability,عقد principal→owner_kid/subject وجرد جميع المنافذ؛ 401/403 وALLOW محدد دون أثر عند الرفض,إيقاف المنافذ الجديدة؛ لا fallback غير محمي أو فتح بوابات النواة,A012;A043;A044;A045;A046;A047;A048;A049;A050;A051;A052;A055;A057;A058;A059;A063;A078;A090;A092;A093;A094;A095;A096;A097;B039;B043;B044;B082;B093
P05,Runner معزول وحدود الموارد وegress والأسرار,R1,P0,Platform + Security,P04,REQUIRES_ISOLATED_ENVIRONMENT,tools;packages/cells/celia/executor/src/tool-registry.js,اختبارات عزل فعلية للشبكة والملفات والعمليات والمهلة والذاكرة؛ لا اتصال handler استشاري بتنفيذ مخفي,إيقاف runner وسحب وصوله للأسرار والشبكة؛ لا تشغيل بديل على المضيف,A053;A054;A081;B042
P06,Workflow وذاكرة وأدلة دائمة,R2,P1,Backend + SRE,P05,BLOCKED_BY_PREDECESSOR,packages/runtime;packages/evidence;packages/cells/celia/system;tools,restart/resume/idempotency/leases وعزل مستخدمين؛ rotation وتحقق مستقل من الأدلة ونسخة احتياطية مستعادة,إيقاف العمال مع حفظ الأحداث والمخازن؛ revert توافقه مثبت ولا يعيد consumed grants,A026;A027;A028;A030;A031;A032;A033;A034;A056;A060;A061;A062;A064;A066;A069;A070;A071;A072;A073;A074;A075;A076;A077;A082;A083;A084;A085;B079;B080;B081;B083;B100
P07,إغلاق create وبقية منافذ التعديل,R1,P0,Security + Backend,P04;P05,SEPARATE_AUTHORIZATION_REQUIRED,tools/celia-workspace-port.mjs;tools/celia-dashboard-server.mjs,create: anonymous 401 وauthenticated بلا grant 403 وexplicit exact grant ALLOW؛ اختبارات cross-workspace وكل منفذ مؤثر,إغلاق المنفذ بدل الرجوع للمسار القديم غير المحمي,
P08,ملكية الصفوف وRLS في قاعدة اختبار,R2,P0,Data + Security,P04;P06,REQUIRES_TEST_DB_APPROVAL,supabase;packages/cells/celia/memory,DB فعلية بهويتي A/B: SELECT/INSERT/UPDATE/DELETE وUSING/WITH CHECK دون تجاوز دور خدمة,فصل البيئة التجريبية وإيقاف الموصل؛ لا rollback يعيد سياسات متساهلة,
P09,موصل Supabase فعلي مستقل,R3,P1,Integrations + Data,P08,REQUIRES_TEST_DB_APPROVAL,packages/cells/celia/memory;tools,round-trip فعلي وعزل A/B واختبارات timeout/429/5xx؛ رفض missing config وعدم إسقاط البيانات في mock,تعطيل الموصل مع حفظ بياناته؛ لا fallback صامت أو migration حي,
P10,مزود واحد وسياق وتوجيه وأدوات قراءة,R3,P1,Integrations + Agent,P05;P06,REQUIRES_PROVIDER_BUDGET_APPROVAL,tools/celia-grok-port.mjs;packages/cells/celia/planner;adapters/mcp;packages/cells/celia/system,طلب حقيقي مصرح به وتكلفة ومهلة وحدود سياق وأداة قراءة محددة؛ injection وrate-limit بلا synthetic fallback,فصل المزود والأداة والعودة للاستشارة بلا نموذج؛ حفظ provenance,A013;A014;A015;A016;A017;A020;A021;A022;A023;A024;A035;A036;A037;A038;A040;A042;A079;A080
P11,تقييم وجودة وأمن سلسلة التوريد,R5,P1,QA + Security,P05,BLOCKED_BY_PREDECESSOR,tests;tools;packages/learning;packages/cells/celia/learning,corpus مستقل وbaseline وholdout وعتبات مثبتة؛ fuzz/mutation/static/SBOM وfalse-accept checks,منع اعتماد النتائج غير القابلة للإعادة؛ إبقاء الأدلة وholdout معزولًا,A088;A089;B025;B026;B030;B032;B033;B034;B035;B036;B037;B038;B040;B041
P12,حلقة إصلاح محدودة وموافقة مستقلة,R4,P1,Agent + QA,P06;P10;P11,SEPARATE_EFFECTFUL_PILOT_APPROVAL,packages/cells/celia/planner;packages/cells/celia/system;packages/cells/celia/executor;tools,goal→proposal→اختبار نسخة معزولة→نقد→موافقة مرتبطة بالحالة→تطبيق محكوم؛ stale approval DENY؛ RED→GREEN حقيقي,kill switch ووقف التطبيق؛ استعادة معتمدة دون محو الأدلة أو استهلاك التفويض,A001;A002;A003;A004;A005;A006;A009;A010;A029;A039;A100;B019;B028;B029;B031;B062;B063;B074;B086;B087;B088;B089;B090;B095
P13,واجهة تشغيل تعكس الحقيقة,R4,P1,Frontend + Backend,P12,BLOCKED_BY_PREDECESSOR,dashboard/src;tools/celia-dashboard-server.mjs;tools/celia-system.mjs,E2E لهدف وخطة وفشل واكتمال تحليل وموافقة منتهية؛ لا تمرير أوامر عامة ولا خلط حالة تحليل وتنفيذ,إيقاف الواجهة الجديدة؛ CLI الاستشاري يبقى متاحًا,
P14,تعلم من بيانات حقيقية وShadow,R6,P2,ML + Evaluation,P11;P12,REQUIRES_REAL_DATA_AND_REVIEW,packages/cells/celia/learning;tools/celia-learning-store.mjs;packages/cells/celia/system,بيانات مراجعة وفصل مجموعات وholdout غير مستهلك ومعايرة/drift؛ مقارنة baseline ضمن عتبات مسبقة؛ تفعيل منفصل,سحب مرشح النموذج والعودة لbaseline؛ لا حذف بيانات أو تحويل تقييم تلقائي إلى موافقة,A041;A086;A087;B009;B017;B051;B052;B053;B059;B061;B072;B073;B084;B085;B092;B094
P15,معرفة وقيود وFormal محدود,R5,P2,Knowledge + Formal + QA,P11,REQUIRES_USE_CASE_ADR,packages/learning;packages/cells/celia/system;tools,claims بمصادر وتناقضات وabstention؛ solver فعلي واختبار SAT/UNSAT/UNKNOWN وحدود النموذج,إيقاف المكون غير الموثوق؛ المجهول يبقى مجهولًا ولا يمنح صلاحية,B002;B003;B004;B005;B006;B007;B008;B013;B016;B018;B021;B022;B024;B096;B097;B098;B099
P16,متعدد الوكلاء والمسارات والتجارب,R7,P2,Agent + Evaluation,P11;P12,REQUIRES_MEASURED_BASELINE,packages/cell;packages/cells/celia/system;tests,مقارنة أحادي الوكيل بنفس ميزانية الوقت والتكلفة؛ عدم تضخيم الصلاحيات أو الثقة بالتصويت,إرجاع المسار الأحادي؛ لا تعديل kernel أو توسيع سلطة الوكلاء,A007;A008;A011;A019;A098;A099;B001;B069;B070;B071;B075;B076;B077;B078
