id,technology,status_code,status_ar,phase,priority,dependencies,owner_role,shared_track,evidence_refs,evidence_paths,gap_or_extension,acceptance_test,integration_snapshot,primary_package,package_anchor,execution_state
A001,Agentic Planning,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,E04,packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,planner وDAG موجودان؛ يلزم تخطيط مقيد موصول بالتحقق,خطة متعددة الخطوات تحقق الهدف ضمن الميزانية وترفض خطوة غير مأذونة,CONNECTED_LIMITED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A002,ReAct,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,"E04,E05",packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs;packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js,توحيد دورة ملاحظة ثم اقتراح فعل ثم نتيجة عبر gateway,كل فعل يمر بالتفويض؛ توقف محدد عند تكرار الفشل,NOT_CONNECTED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A003,Reflection,M,موجود محليًا محدود,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,E06,packages/learning/src/reflection.js;packages/learning/src/knowledge.js;packages/learning/src/hypothesis.js;packages/learning/src/benchmark.js;packages/learning/src/learner.js;tests/omega-learning.test.js,إعادة استخدام reflect الحقيقي وربطه بنتائج أدوات حقيقية,إعادة حساب findings من الأدلة نفسها دون منح صلاحيات,CONNECTED_LIMITED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A004,Self-Critique,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,E06,packages/learning/src/reflection.js;packages/learning/src/knowledge.js;packages/learning/src/hypothesis.js;packages/learning/src/benchmark.js;packages/learning/src/learner.js;tests/omega-learning.test.js,إضافة rubric نقد مستقل عن النموذج المنشئ,يلتقط عيوبًا مزروعة ولا يرفض نتائج صحيحة فوق الحد المتفق,CONNECTED_LIMITED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A005,Self-Verification,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,"E06,E10",packages/learning/src/reflection.js;packages/learning/src/knowledge.js;packages/learning/src/hypothesis.js;packages/learning/src/benchmark.js;packages/learning/src/learner.js;tests/omega-learning.test.js;packages/evidence/index.js;packages/runtime/src/ledger.js;packages/cells/celia/executor/src/event-sourcing.js;tests/evidence.test.js,ربط claims بالاختبارات والمصادر لا بتأكيد النموذج نفسه,الادعاء غير المدعوم يبقى غير متحقق مع بيان السبب,CONNECTED_LIMITED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A006,Self-Correction,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,"E05,E09",packages/runtime/src/machine.js;packages/runtime/src/authority.js;packages/runtime/src/session.js;packages/runtime/src/healer.js;packages/runtime/src/breaker.js;tests/omega-runtime.test.js;tools/celia-workspace-write-auth.mjs;tools/celia-workspace-commit-auth.mjs;tools/celia-workspace-commit-port.mjs;tools/celia-commit-consumption-store.mjs;tools/celia-workspace-port.mjs;tests/celia-workspace-commit-hardening.test.js;tests/celia-workspace-commit-persistence.test.js;docs/celia-workspace-commit-h1-persistence.ar.md,توسيع healer إلى اقتراح إصلاح ثم اختبار وموافقة,تحسن مقاس؛ لا retry لرفض الصلاحية ولا حلقة بلا نهاية,BLOCKED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A007,Tree of Thoughts,N,غير ظاهر في نطاق الفحص,R7,P2,R4;R5;R6-if-learned,Agent + Evaluation,مسارات ووكلاء ومحاكاة مقاسة,"E00,E24",packages/cells/celia/infinite/src/multiverse-engine.js;packages/cells/celia/infinite/src/swarm-pheromone.js;packages/cells/celia/dsl/src/consensus-dsl.js,بحث محدود في شجرة خطط مرشحة لا كشف تفكير داخلي,يقارن baseline أحادي المسار تحت ميزانية ثابتة وشرط توقف,NOT_CONNECTED,P16,nexa-execution-plan.ar.md#p16,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A008,Graph of Thoughts,N,غير ظاهر في نطاق الفحص,R7,P2,R4;R5;R6-if-learned,Agent + Evaluation,مسارات ووكلاء ومحاكاة مقاسة,"E00,E24",packages/cells/celia/infinite/src/multiverse-engine.js;packages/cells/celia/infinite/src/swarm-pheromone.js;packages/cells/celia/dsl/src/consensus-dsl.js,رسم فرضيات وخطط مع dedup وتبعيات ومصادر,كشف الدورات وإعادة استخدام العقد دون تضخيم عدد الأدلة,NOT_CONNECTED,P16,nexa-execution-plan.ar.md#p16,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A009,Chain of Thought,P,جزئي أو أساس قريب,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,E04,packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,خطط وملخصات تبرير قابلة للتدقيق لا تخزين التفكير الخاص,عرض قرارات وأدلة مختصرة دون أسرار أو اعتماد على نص خفي,NOT_CONNECTED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
A010,Least-to-Most Reasoning,N,غير ظاهر في نطاق الفحص,R4,P1,R2;R3,Agent + QA,وكيل إصلاح محدود وقابل للقياس,"E00,E04",packages/cells/celia/planner/src/grok.js;packages/cells/celia/executor/src/executor.js;packages/cells/celia/executor/src/tool-registry.js;packages/cells/celia/executor/src/adaptive-dag.js;tools/dag-executor.mjs,منظم مسائل فرعية مرتبة حسب التبعيات والصعوبة,كل مسألة فرعية تنتج مخرجًا متحققًا قبل التي تعتمد عليها,NOT_CONNECTED,P12,nexa-execution-plan.ar.md#p12,PLANNED_NOT_IMPLEMENTED_BY_THIS_DOCUMENT
